,country,points,price,review_sentiment,variety
0,37.0,87,36.78122437966355,0.13,White Blend
1,36.0,87,15.0,0.22,Portuguese Red
2,39.0,87,14.0,0.02,Pinot Gris
3,39.0,87,13.0,0.17,Riesling
4,39.0,87,65.0,0.31,Pinot Noir
5,38.0,87,24.0,0.02,Gewürztraminer
6,31.0,87,12.0,0.25,Gewürztraminer
7,38.0,87,27.0,0.32,Pinot Gris
8,39.0,87,19.0,0.36,Cabernet Sauvignon
9,38.0,87,30.0,0.13,Gewürztraminer
10,39.0,87,34.0,0.02,Cabernet Sauvignon
11,39.0,87,12.0,0.1,Chardonnay
12,31.0,87,24.0,0.23,Riesling
13,33.0,87,30.0,-0.08,Malbec
14,33.0,87,13.0,0.23,Malbec
15,39.0,87,23.0,-0.18,Red Blend
16,39.0,87,20.0,0.55,Pinot Noir
17,37.0,87,19.0,0.1,White Blend
18,39.0,87,22.0,-0.02,Merlot
19,39.0,87,69.0,0.04,Pinot Noir
20,37.0,87,13.0,0.18,White Blend
21,37.0,87,17.0,-0.09,Red Blend
22,38.0,86,36.78122437966355,0.28,Gamay
23,37.0,86,36.78122437966355,0.1,Red Blend
24,37.0,86,36.78122437966355,0.1,White Blend
25,39.0,86,50.0,-0.07,Red Blend
26,39.0,86,20.0,-0.05,Sauvignon Blanc
27,39.0,86,50.0,0.43,Pinot Noir
28,37.0,86,21.0,0.08,Cabernet Sauvignon
29,39.0,86,22.0,-0.26,Pinot Noir
30,38.0,86,9.0,0.05,Gamay
31,39.0,86,14.0,0.04,Sauvignon Blanc
32,35.0,86,9.0,0.1,Merlot
33,39.0,86,40.0,0.1,Red Blend
34,39.0,86,13.0,0.2,Riesling
35,39.0,86,16.0,-0.09,Sauvignon Blanc
36,38.0,86,14.0,0.2,Gamay
37,37.0,86,36.78122437966355,-0.15,Red Blend
38,38.0,85,15.0,0.26,Bordeaux-style White Blend
39,37.0,85,36.78122437966355,0.18,Red Blend
40,39.0,85,30.0,0.1,Chardonnay
41,39.0,85,14.0,0.09,Chardonnay
42,35.0,85,13.0,0.21,Pinot Noir
43,39.0,86,55.0,-0.16,Malbec
44,39.0,86,100.0,-0.1,Cabernet Sauvignon
45,37.0,86,17.0,-0.08,Sangiovese
46,39.0,86,25.0,0.5,Cabernet Franc
47,38.0,86,58.0,0.18,Champagne Blend
48,39.0,86,26.0,0.05,Sauvignon Blanc
49,38.0,86,24.0,0.1,Chardonnay
50,38.0,86,15.0,0.34,Chardonnay
51,39.0,86,46.0,0.4,Bordeaux-style Red Blend
52,39.0,86,12.0,-0.01,Red Blend
53,38.0,86,55.0,0.18,Champagne Blend
54,39.0,86,12.0,0.4,Chardonnay
55,39.0,86,40.0,0.16,Cabernet Sauvignon
56,39.0,86,75.0,-0.01,Cabernet Sauvignon
57,39.0,86,75.0,-0.12,Bordeaux-style Red Blend
58,31.0,86,9.0,-0.03,Riesling
59,29.0,86,18.0,0.18,Chardonnay
60,39.0,86,25.0,0.23,Pinot Noir
61,29.0,86,20.0,0.35,Rosé
62,39.0,86,24.0,0.2,Zinfandel
63,31.0,86,10.0,0.3,Riesling
64,39.0,86,55.0,-0.17,Merlot
65,39.0,88,23.0,-0.07,Red Blend
66,39.0,88,18.0,0.19,Pinot Gris
67,32.0,88,12.0,0.33,Grüner Veltliner
68,38.0,88,20.0,0.08,Gamay
69,38.0,88,18.0,0.41,Gamay
70,39.0,88,20.0,0.15,Riesling
71,37.0,88,30.0,-0.14,Sangiovese
72,39.0,88,75.0,0.2,Bordeaux-style Red Blend
73,39.0,88,18.0,0.19,Pinot Gris
74,39.0,87,20.0,-0.13,Riesling
75,39.0,87,20.0,0.4,Riesling
76,35.0,87,18.0,0.31,Chardonnay
77,37.0,87,16.0,-0.03,Red Blend
78,37.0,87,14.0,-0.2,White Blend
79,37.0,87,30.0,0.27,Red Blend
80,39.0,87,26.0,0.27,Zinfandel
81,37.0,87,30.0,0.15,Red Blend
82,38.0,87,23.0,-0.2,Gamay
83,39.0,87,85.0,0.5,Cabernet Sauvignon
84,37.0,87,15.0,0.08,Red Blend
85,37.0,87,19.0,0.0,White Blend
86,39.0,87,18.0,-0.03,Bordeaux-style Red Blend
87,39.0,87,18.0,0.07,Chardonnay
88,39.0,87,44.0,0.19,Syrah
89,37.0,87,80.0,-0.03,Red Blend
90,38.0,92,80.0,0.33,Riesling
91,37.0,92,70.0,0.01,Nebbiolo
92,39.0,92,36.0,0.27,Chardonnay
93,39.0,92,39.0,0.1,Zinfandel
94,39.0,92,45.0,0.33,Cabernet Sauvignon
95,28.0,91,45.0,0.27,Cabernet Sauvignon
96,38.0,91,48.0,0.32,Gewürztraminer
97,38.0,91,13.0,0.39,White Blend
98,28.0,91,25.0,-0.17,Bordeaux-style Red Blend
99,37.0,91,70.0,0.3,Nebbiolo
100,28.0,91,30.0,0.5,Cabernet Sauvignon
101,37.0,91,68.0,0.3,Nebbiolo
102,39.0,91,78.0,0.16,Cabernet Sauvignon
103,37.0,91,60.0,0.13,Nebbiolo
104,38.0,91,50.0,0.06,Bordeaux-style Red Blend
105,38.0,90,112.0,0.25,Pinot Gris
106,37.0,90,45.0,0.13,Nebbiolo
107,39.0,90,17.0,0.21,Riesling
108,38.0,90,84.0,0.17,Pinot Gris
109,39.0,91,85.0,-0.05,Cabernet Sauvignon
110,39.0,91,64.0,-0.15,Pinot Noir
111,39.0,91,68.0,0.07,Cabernet Sauvignon
112,39.0,91,68.0,0.24,Cabernet Sauvignon
113,31.0,91,16.0,0.16,Riesling
114,39.0,91,35.0,0.14,Rhône-style Red Blend
115,39.0,91,25.0,0.35,Cabernet Sauvignon
116,36.0,91,30.0,0.34,Portuguese White
117,39.0,91,55.0,0.06,Pinot Noir
118,39.0,91,46.0,0.01,Syrah
119,39.0,91,36.0,0.08,Syrah
120,31.0,91,14.0,0.29,Riesling
121,36.0,91,26.0,0.06,Portuguese Red
122,37.0,91,38.0,0.04,Sangiovese
123,37.0,91,36.78122437966355,0.03,Sangiovese
124,38.0,91,35.0,0.49,Malbec
125,39.0,91,35.0,-0.17,Red Blend
126,39.0,91,28.0,0.03,Riesling
127,38.0,91,36.78122437966355,0.28,Gamay
128,35.0,91,29.0,0.26,Red Blend
129,35.0,91,32.0,0.06,Cabernet Sauvignon
130,39.0,91,28.0,0.07,Cabernet Franc
131,39.0,91,95.0,0.49,Merlot
132,39.0,91,44.0,0.15,Pinot Noir
133,31.0,91,30.0,0.08,Riesling
134,31.0,91,22.0,0.3,Riesling
135,35.0,91,20.0,0.08,Cabernet Sauvignon
136,39.0,91,38.0,0.85,Pinot Noir
137,30.0,88,19.0,0.29,Sauvignon Blanc
138,35.0,88,50.0,0.08,Red Blend
139,37.0,88,22.0,0.4,Sangiovese
140,39.0,88,25.0,0.01,Syrah
141,38.0,88,27.0,0.24,Chardonnay
142,39.0,88,23.0,0.34,Chardonnay
143,39.0,88,36.0,0.36,Pinot Noir
144,39.0,88,35.0,0.04,Chardonnay
145,39.0,88,40.0,0.38,Pinot Noir
146,37.0,88,48.0,-0.07,Red Blend
147,35.0,88,11.0,0.23,Merlot
148,35.0,87,11.0,0.29,Chardonnay
149,37.0,87,26.0,-0.04,Red Blend
150,29.0,87,30.0,0.15,Cabernet Sauvignon
151,37.0,87,20.0,0.25,Red Blend
152,38.0,87,35.0,0.14,Chardonnay
153,37.0,87,36.78122437966355,0.22,Sangiovese
154,39.0,90,60.0,0.02,Cabernet Sauvignon
155,39.0,90,28.0,0.01,Cabernet Franc
156,37.0,90,36.78122437966355,0.02,Sangiovese
157,37.0,90,62.0,0.32,White Blend
158,27.0,90,50.0,0.21,Syrah
159,36.0,90,28.0,0.3,Portuguese Red
160,39.0,90,25.0,0.26,Chardonnay
161,39.0,90,25.0,0.05,Cabernet Sauvignon
162,39.0,90,32.0,-0.01,Zinfandel
163,28.0,90,40.0,0.14,White Blend
164,38.0,90,16.0,-0.06,Rhône-style Red Blend
165,28.0,90,20.0,0.32,Chardonnay
166,38.0,90,32.0,0.07,Rhône-style Red Blend
167,39.0,90,48.0,-0.06,Red Blend
168,39.0,90,36.0,0.02,Rhône-style Red Blend
169,27.0,90,80.0,0.43,Bordeaux-style Red Blend
170,37.0,90,57.0,0.05,Sangiovese
171,36.0,90,20.0,0.22,Portuguese Red
172,39.0,90,40.0,-0.1,Chardonnay
173,37.0,90,36.78122437966355,0.04,Sangiovese
174,33.0,90,22.0,-0.11,Malbec
175,28.0,90,25.0,0.32,Chardonnay
176,39.0,85,15.0,0.14,Pinot Noir
177,39.0,85,14.0,0.46,Riesling
178,39.0,85,18.0,0.24,Red Blend
179,39.0,85,16.0,0.44,Gewürztraminer
180,39.0,85,28.0,0.19,Pinot Noir
181,39.0,85,49.0,-0.12,Syrah
182,39.0,85,85.0,-0.02,Cabernet Sauvignon
183,39.0,85,36.0,0.16,Cabernet Sauvignon
184,39.0,85,34.0,0.22,Sangiovese
185,39.0,85,15.0,0.14,Chardonnay
186,39.0,85,30.0,0.31,Chardonnay
187,34.0,85,13.0,0.13,Red Blend
188,33.0,85,12.0,-0.06,Chardonnay
189,29.0,85,15.0,0.26,Sauvignon Blanc
190,39.0,85,25.0,0.0,Merlot
191,39.0,85,45.0,0.31,Pinot Noir
192,39.0,85,18.0,0.32,Bordeaux-style Red Blend
193,39.0,85,49.0,0.09,Cabernet Sauvignon
194,39.0,85,22.0,0.2,Pinot Noir
195,39.0,85,35.0,0.22,Zinfandel
196,33.0,85,15.0,0.18,Malbec
197,39.0,89,55.0,0.19,Pinot Noir
198,28.0,89,18.0,0.06,Red Blend
199,28.0,89,35.0,0.28,Cabernet Sauvignon
200,38.0,89,13.0,0.13,Malbec
201,39.0,89,40.0,-0.02,Pinot Noir
202,33.0,89,37.0,0.23,Red Blend
203,39.0,89,39.0,0.39,Red Blend
204,39.0,89,60.0,0.36,Pinot Noir
205,28.0,89,19.0,0.22,Syrah
206,28.0,89,40.0,0.45,Chardonnay
207,33.0,89,14.0,0.08,Red Blend
208,37.0,89,40.0,0.35,White Blend
209,37.0,89,36.0,0.34,White Blend
210,33.0,89,19.0,0.3,Red Blend
211,37.0,89,13.0,0.31,White Blend
212,33.0,89,30.0,-0.16,Cabernet Sauvignon
213,39.0,89,20.0,0.17,Zinfandel
214,39.0,89,30.0,0.27,Cabernet Sauvignon
215,39.0,89,50.0,0.26,Pinot Noir
216,32.0,92,24.0,0.23,Grüner Veltliner
217,39.0,92,34.0,0.21,Pinot Noir
218,37.0,92,41.0,0.15,Red Blend
219,39.0,92,52.0,0.39,Pinot Noir
